Start,End,Speaker,Speech,meeting
0.08,0.34,C,More .,EN2004a
0.48,1.4,B,"If not more , yeah .",EN2004a
1.5,2.08,D,Mm .,EN2004a
5.96,19.3,B,"Okay . Okay . So the three of you and let's see m um myself and Maarika , who's not here , and but I think so it it occasionally Melissa will all be doing checking",EN2004a
19.24,19.49,A,Mm-hmm,EN2004a
19.3,19.57,B,of,EN2004a
19.49,19.49,A,.,EN2004a
19.57,30.8,B,the transcriptions . So this is the second pass these transcriptions are receiving and that's pretty straight-forward . I think you all kn basically have an idea what's involved,EN2004a
30.39,30.74,D,Okay .,EN2004a
30.8,73.66,B,". Um but the extra step that we're asking you to do f in this case is to look at the silent regions and listen to them for each channel and um make sure that no back-channels were lost for example , um yeah , back-channels is what you n typically would find , although by and large these are gonna be silent . So So you can um start s checking by y well you you know , you can order it in any way you like , but um start with the first channel and go through it entirely . Um",EN2004a
73.16,73.4,A,Mm-hmm .,EN2004a
73.66,98.32,B,"I would recommend , I've found that it's easier when you're checking and you're trying to make sure the boundaries are right for a speech segment , I would recommend , like say this one , go down here to the uh trascription transcription tier and select that it so that uh when you play , you're certain that when it stops , you've caught the whole speech",EN2004a
98.02,98.23,A,Mm .,EN2004a
98.32,136.41,B,"signal for that utterance and haven't lost any signal information . Um otherwise it it's liable to keep on running , and you might not notice where it where it finishes . So it it takes a little time . But um Alternatively , I you you could just listen to the speech segments again and make sure everything is correct for those , and so you could just hit um And then Like that . And then go back and",EN2004a
135.93,136.38,D,Mm-hmm .,EN2004a
136.41,138.68,B,check the the silence regions,EN2004a
138.61,138.69,D,In,EN2004a
138.68,138.79,B,. How,EN2004a
138.69,139.06,D,between,EN2004a
138.79,139.29,B,it if,EN2004a
139.06,139.06,D,.,EN2004a
139.29,141.99,B,"if you wanna make your job a little more interesting , you",EN2004a
141.55,142.15,D,Yeah,EN2004a
141.99,142.21,B,can,EN2004a
142.15,142.15,D,.,EN2004a
142.21,147.35,B,d do it in m different ways on a different day . It doesn't matter . As long as it gets done,EN2004a
147.27,147.42,D,So,EN2004a
147.35,148.24,B,. So,EN2004a
147.42,152.48,D,we so are we checking what's actually been transcribed already as well as the silences,EN2004a
152.06,152.48,B,Yeah,EN2004a
152.48,152.71,D,? Yeah,EN2004a
152.48,152.79,B,", yeah , you're",EN2004a
152.71,152.71,D,.,EN2004a
152.79,156.3,B,doing so that's that's the role of the checker is to,EN2004a
156.27,156.57,D,Mm-hmm,EN2004a
156.3,156.57,B,check,EN2004a
156.57,156.57,D,.,EN2004a
156.57,161.92,B,what's said in the silent regions uh in the speech regions and then make sure nothing was lost in the,EN2004a
161.56,162.06,D,Oh okay,EN2004a
161.92,162.26,B,silent,EN2004a
162.06,162.06,D,.,EN2004a
162.26,170.69,B,regions . You're also um responsible for resolving any um uncertainties that were marked by the original transcriber,EN2004a
169.58,169.92,A,Mm-hmm .,EN2004a
170.69,198.83,B,". And and you know , of course there are gonna be m many situations where you like the first transcriber can't make any sense of it . And in that case , it will be up to you to use the at symbol . Um and that can be used uh to represent one um unintelligible word or multiple intelligible words , but just use one at symbol . Um",EN2004a
198.382,198.382,D,.,EN2004a
198.83,225.17,B,"yeah , mm-hmm , exactly . And so that um once you go through all the s um speech regions and all the um non-speech regions , an o you could make another step of doing a search using um going under the edit menu you can do a search for",EN2004a
224.43,225.34,A,Find replace,EN2004a
225.17,225.59,B,", yeah",EN2004a
225.34,225.45,A,", yeah .",EN2004a
225.59,239.04,B,", find replace for open parentheses and that'll take you to any that it any that the first transcriber might have marked out . So there's one . And then you can just resolve those all one by one",EN2004a
238.6,238.87,A,Uh-huh .,EN2004a
239.04,239.65,B,as,EN2004a
239.09,239.7,D,"Oh , alright",EN2004a
239.65,239.84,B,as,EN2004a
239.7,239.96,D,'kay,EN2004a
239.84,240.28,B,a,EN2004a
239.96,239.96,D,.,EN2004a
240.28,250.45,B,different set of um changes altogether . And and likewise for the double question marks . Just once you've gone,EN2004a
250.38,250.49,A,Oh,EN2004a
250.45,251.17,B,through,EN2004a
250.49,250.63,A,yeah .,EN2004a
251.17,271.0,B,"um and resolved all the open parentheses , you can do the same for op uh double question marks . And um and like I said , if you if you can't make any sense of it , then just use the at symbol . If you can um , just give it , you know , give it your best guess in these cases",EN2004a
270.83,271.03,A,How,EN2004a
271.0,271.25,B,. If,EN2004a
271.03,277.52,A,"much should you want um I had a few times where I thought well , it could be this",EN2004a
276.59,277.03,B,Mm-hmm .,EN2004a
277.52,282.49,A,", but if you're not entirely sure that it could be , 'cause it c it could be a combination of something else",EN2004a
282.47,283.03,B,Yeah,EN2004a
282.49,283.03,A,", like put the",EN2004a
283.03,283.03,B,.,EN2004a
283.03,286.19,A,guess down or leave it as ambiguous in some way .,EN2004a
286.41,296.13,B,"Yeah , it's I would uh if you're v if you're quite certain , then I would go ahead and um type what you think it",EN2004a
296.12,296.32,A,Right,EN2004a
296.13,296.63,B,was said,EN2004a
296.32,296.32,A,.,EN2004a
296.63,300.13,B,. If if you v think that n y there's,EN2004a
299.68,300.5,A,There's a chance,EN2004a
300.13,300.7,B,maybe,EN2004a
300.5,300.71,A,they,EN2004a
300.7,301.5,B,a,EN2004a
300.71,301.04,A,could be .,EN2004a
301.5,305.11,B,th thirty percent chance you're wrong or or more,EN2004a
305.17,307.28,C,"It's usually a context problem , because I",EN2004a
307.08,307.43,A,Yeah,EN2004a
307.28,307.87,C,think,EN2004a
307.37,307.85,B,Yeah,EN2004a
307.43,307.43,A,.,EN2004a
307.85,307.85,B,.,EN2004a
307.87,313.84,C,sometimes if it's not intelligible you either tend to because you really want it to fit the context,EN2004a
313.65,314.08,D,Mm yeah,EN2004a
313.84,314.27,C,", um",EN2004a
314.08,314.08,D,.,EN2004a
