Start,End,Speaker,Speech,meeting
26.39,27.18,C,With the lapel .,IN1014.
32.383,32.383,A,.,IN1014.
49.77,55.18,C,So we I think we organise uh just to to discuss,IN1014.
54.64,56.75,B,Sorry,IN1014.
55.18,55.68,C,uh,IN1014.
56.75,59.99,B,. I don't have my presentation .,IN1014.
62.43,63.93,C,To discuss uh,IN1014.
63.2,63.39,B,Um,IN1014.
63.93,85.04,C,", yeah , the project Alexandre and uh Jean-Marc uh proposed a about uh capturing uh audio , video and slide uh in a synchronized way . And so we will start with uh an introduction . Uh I think Olivier prepared some slides about uh",IN1014.
84.96,85.23,B,Yeah,IN1014.
85.04,85.66,C,reviewing,IN1014.
85.23,85.23,B,.,IN1014.
85.66,107.24,C,"uh current systems . And um And then , even if we don't have many things to to talk about , just to to start discussing about clearly the project and also um dealing with our kind of timing constraints",IN1014.
106.2,106.52,D,Mm-hmm .,IN1014.
107.24,107.62,C,. And,IN1014.
107.43,108.48,B,So,IN1014.
107.62,108.29,C,uh,IN1014.
108.48,110.75,B,they're on my they're on a .,IN1014.
114.22,118.72,C,The U_ U_S_ U_ uh U_S_B_ cord doesn't work ? And you didn't put on the,IN1014.
118.45,119.33,B,No no . They are .,IN1014.
120.44,126.11,C,Maybe you can access through the network . If it's on your H_ .,IN1014.
127.76,128.58,B,Yeah,IN1014.
127.77,128.71,C,Or it's on,IN1014.
128.58,130.16,B,". No , no",IN1014.
128.71,129.8,C,uh your D_ machine .,IN1014.
130.16,130.94,B,. My D_ machine .,IN1014.
132.84,134.37,C,So maybe,IN1014.
134.09,134.42,B,Yeah,IN1014.
134.37,134.75,C,we,IN1014.
134.42,134.42,B,.,IN1014.
134.75,135.89,C,wi we will be able to .,IN1014.
136.83,137.08,B,Okay .,IN1014.
139.08,139.29,C,Should,IN1014.
139.09,139.31,B,Just,IN1014.
139.29,140.75,C,work,IN1014.
139.31,139.66,B,going,IN1014.
140.75,140.98,C,. What ?,IN1014.
142.74,143.35,D,Keep going .,IN1014.
146.35,147.13,C,So,IN1014.
146.87,147.18,A,The show,IN1014.
147.13,151.45,C,um,IN1014.
147.18,148.49,A,must go on .,IN1014.
151.45,156.83,C,"w yeah , we had like five slides y uh presenting different systems . And",IN1014.
156.65,157.12,B,Mm-hmm,IN1014.
156.83,157.29,C,mayb,IN1014.
157.12,157.12,B,.,IN1014.
157.29,164.31,C,maybe you we can do that at the white-board . I it's a bit stupid . But uh y you know . I think you remember well the different,IN1014.
163.8,164.26,B,Okay .,IN1014.
164.31,166.9,C,uh parts . And uh I'm sure uh,IN1014.
166.45,166.96,B,Okay,IN1014.
166.9,166.99,C,we,IN1014.
166.96,167.3,B,. So,IN1014.
166.99,167.33,C,can do,IN1014.
167.3,167.55,B,uh,IN1014.
167.33,167.68,C,that at,IN1014.
167.55,167.74,B,uh,IN1014.
167.68,167.8,C,the,IN1014.
167.74,168.41,B,yeah,IN1014.
167.8,169.65,C,white-board,IN1014.
168.41,169.53,B,. I will do something like that .,IN1014.
169.65,171.68,C,". Yeah , it would be great to use the white-board .",IN1014.
172.57,196.6,B,"Okay . So uh I would like just to review at the different project regarding acquisition system . So basically there are five systems . The first one is called SMAC , which is developed by Fribourg and CERN . The second one i is your system . Uh I would to say the cheap meeting room system . The third one yeah , maybe I can share that with",IN1014.
196.35,196.98,C,So the,IN1014.
196.6,196.88,B,you .,IN1014.
196.98,199.03,C,the the first one is uh SMAC . Okay .,IN1014.
199.46,201.57,B,"The SMAC , yeah . Should I write ?",IN1014.
201.88,202.55,C,"Yeah , maybe yeah .",IN1014.
205.98,206.37,B,Okay .,IN1014.
207.79,210.11,C,Just a review of current systems,IN1014.
209.22,210.14,D,"Yeah , yeah . Sure , that's",IN1014.
210.11,210.54,C,uh,IN1014.
210.14,210.63,D,interest,IN1014.
210.54,210.63,C,to,IN1014.
210.63,211.0,D,us,IN1014.
210.63,211.33,C,introduce,IN1014.
210.83,211.0,B,The,IN1014.
211.0,211.0,D,.,IN1014.
211.0,211.6,B,first one,IN1014.
211.33,211.33,C,.,IN1014.
211.6,213.86,B,"is yeah , I will call that A_ .",IN1014.
218.92,231.93,B,"SMAC , which is develop by Fribourg and CERN . The second one , B_ , which is uh I would like to che say uh cheap uh meeting room or I don't know .",IN1014.
232.08,233.32,D,It's okay . It should,IN1014.
232.92,233.47,C,"Well , cheap",IN1014.
233.32,233.32,D,.,IN1014.
233.47,236.52,C,"meeting room is the , you know , mm",IN1014.
236.05,236.18,D,But,IN1014.
236.07,239.21,B,Okay,IN1014.
236.18,236.98,D,for the moment,IN1014.
236.52,237.06,C,it's,IN1014.
236.88,237.0,A,You,IN1014.
236.98,237.24,D,just,IN1014.
237.0,237.18,A,can,IN1014.
237.06,237.42,C,a,IN1014.
237.18,238.57,A,say,IN1014.
237.24,237.61,D,for the,IN1014.
237.42,238.11,C,conference,IN1014.
237.61,238.68,D,purpose,IN1014.
238.11,238.55,C,room ? Or,IN1014.
238.57,238.74,A,then,IN1014.
238.68,238.8,D,well,IN1014.
238.74,239.09,A,you,IN1014.
238.8,239.29,D,", f for",IN1014.
239.21,239.21,B,.,IN1014.
239.29,242.21,D,the moment it's just to understand each other so we know,IN1014.
241.94,242.28,A,It I,IN1014.
242.21,242.5,D,we know,IN1014.
242.28,242.51,A,th I,IN1014.
242.5,242.72,D,that,IN1014.
242.51,242.76,A,thought,IN1014.
242.72,242.96,D,the,IN1014.
242.76,243.05,A,it was,IN1014.
242.96,243.28,D,uh,IN1014.
243.05,244.37,A,"called PAS , so",IN1014.
244.02,245.53,C,Yeah,IN1014.
244.37,245.31,A,I think just,IN1014.
245.04,245.56,D,Yeah,IN1014.
245.31,245.59,A,use,IN1014.
245.53,246.48,C,. PAS,IN1014.
245.56,245.74,D,for,IN1014.
245.59,245.92,A,this,IN1014.
245.74,246.03,D,with,IN1014.
245.92,245.92,A,.,IN1014.
246.03,246.68,D,PAS . It's,IN1014.
246.48,246.99,C,. Alexandre,IN1014.
246.68,247.31,D,okay,IN1014.
246.79,247.98,B,P_A_S_,IN1014.
246.99,248.42,C,. PAS,IN1014.
247.31,248.5,D,". Yeah , good idea",IN1014.
247.85,248.11,A,PAS,IN1014.
