Start,End,Speaker,Speech,meeting
28.58,30.96,B,Now what .,IS1005a
58.41,90.13,A,"'Kay , hello everybody . Uh , I guess you all know what is it about , you all received the email , I guess . Uh , we are actually doing this meeting to start a new project which is about designing a remote control . So I'm going to be the project manager of this uh project . And uh so I'm present myself . I'm Fabien Cardinaux and uh I I guess you can present yourself . So I dunno , you can starts",IS1005a
90.1,90.3,B,Okay,IS1005a
90.13,90.13,A,.,IS1005a
90.3,96.04,B,", so my name is Petre . You can call me Petre , or Peter if you like . I don't care",IS1005a
95.76,95.97,A,Okay .,IS1005a
96.04,96.04,B,.,IS1005a
97.48,98.71,D,Uh my name's Bob,IS1005a
98.63,98.72,A,And,IS1005a
98.71,99.63,D,Mor,IS1005a
98.72,99.88,A,you are ? In the project,IS1005a
99.56,100.02,B,Uh,IS1005a
99.63,99.95,D,. Oh,IS1005a
99.88,99.88,A,?,IS1005a
99.95,101.28,D,", sorry",IS1005a
100.02,101.43,B,", in the project I'm supposed",IS1005a
101.28,101.28,D,.,IS1005a
101.43,102.41,B,to be the technic .,IS1005a
104.28,110.87,D,'Kay . So my name's Bob Morris . I'm the Marketing Expert for this project,IS1005a
110.26,111.47,B,Bob,IS1005a
110.87,111.53,D,. Bob,IS1005a
111.47,111.76,B,", okay",IS1005a
111.53,111.66,D,yeah .,IS1005a
111.76,111.76,B,.,IS1005a
112.53,119.44,C,"My name is Hamed Getabdar , and uh I'm going to be Interface Designer in this project .",IS1005a
123.71,124.06,B,Okay .,IS1005a
131.94,193.93,A,"So , uh , so today we are doing a short meeting to present the project , so um We are gooding we are going to present the tool we are we are going to use during all this project . We are talking about the project plan , and we are going to to discuss about st our first ideas and so on , and , yeah . So we have around twenty five minutes to do this meeting . Um . So what is the goal of this project ? Is to design a new remote control . So it should be , of course , new and original , and um it should be trendy , and user friendly . That mean it's a very challenging project , and uh uh . So w it's we will try to do our best , and hopefully come with something very new and that people want to buy . So , um",IS1005a
199.54,221.57,A,So what's uh what are we going to do during this all this project ? So it's more like we are going to do inv individual work all in o in o our specialities and we are going to meet each other quite often to discuss and to find a good way . Um .,IS1005a
231.97,255.58,A,Yeah and everything is will be like this . Um so now we are going to to get used t to to the tools we are going to use all during all this project . So we can try to use uh the whiteboard here . So,IS1005a
252.41,252.76,B,Okay .,IS1005a
255.58,269.52,A,uh . For example we can try to write what is our our favourite animal and write the f our favourite characteristics about it . Mm .,IS1005a
279.34,282.12,A,Uh . So uh,IS1005a
310.27,313.63,A,So I will ask you all to do the same,IS1005a
312.86,313.97,B,Okay,IS1005a
313.63,314.11,A,. Just to get,IS1005a
313.97,313.97,B,.,IS1005a
314.11,317.08,A,used to the whiteboard .,IS1005a
317.31,325.01,B,So probably I would try to try to draw the animal . Well sh should I draw the picture of the animal ? I I th,IS1005a
325.0,325.14,A,Yeah,IS1005a
325.01,325.32,B,I,IS1005a
325.14,325.29,A,", yeah",IS1005a
325.17,325.56,D,Yeah,IS1005a
325.29,325.39,A,", you",IS1005a
325.32,325.47,B,think,IS1005a
325.39,325.59,A,can,IS1005a
325.47,325.57,B,I,IS1005a
325.56,325.71,D,go,IS1005a
325.57,326.17,B,should,IS1005a
325.59,325.72,A,draw,IS1005a
325.71,326.73,D,ahead,IS1005a
325.72,326.28,A,"the picture , of",IS1005a
326.17,326.17,B,.,IS1005a
326.28,328.3,A,course,IS1005a
326.73,326.73,D,.,IS1005a
328.3,328.3,A,.,IS1005a
328.72,377.12,B,"Okay , so . Um . Okay , American , um . Um . I would use the bird . So I tried to sketch it out . I had to first uh write it down because I am not absolutely sure if I can draw it , but ah . Can you recognise it as a bird ? Okay",IS1005a
376.96,378.14,D,Okay,IS1005a
377.12,378.21,B,it's your turn to,IS1005a
378.14,379.56,D,", okay .",IS1005a
392.3,394.2,D,So I think my favourite animal would be a c a cat .,IS1005a
401.43,401.65,A,Oh .,IS1005a
408.46,418.51,D,That's its head . Um I probably like cats the most because they're cuddly and furry and uh playful . Okay .,IS1005a
422.26,423.53,C,I dunno if I should go,IS1005a
423.42,423.64,B,Oh it's,IS1005a
423.53,424.71,C,with,IS1005a
423.64,424.28,B,okay .,IS1005a
424.37,428.43,D,Thanks,IS1005a
424.71,426.86,C,this .,IS1005a
428.43,428.43,D,.,IS1005a
428.78,434.79,C,If it is enough line . I'm sorry,IS1005a
434.0,434.9,D,Maybe put it up,IS1005a
434.79,434.79,C,.,IS1005a
434.9,436.68,D,Put it a Maybe put it on the desk or something .,IS1005a
437.22,446.38,B,"Yeah . I should get used to the tool , so",IS1005a
