Start,End,Speaker,Speech,meeting
50.42,67.55,B,Okay . Right . Um well this is the kick-off meeting for our our project . Um and um this is just what we're gonna be doing over the next twenty five minutes,ES2002a
67.21,67.45,D,Mm-hmm .,ES2002a
67.55,74.91,B,". Um so first of all , just to kind of make sure that we all know each other , I'm Laura and I'm the project manager . Do",ES2002a
74.89,75.24,D,Great,ES2002a
74.91,76.1,B,you,ES2002a
75.24,75.24,D,.,ES2002a
76.1,77.29,B,want to introduce yourself again ?,ES2002a
77.44,80.87,A,"Hi , I'm David and I'm supposed to be an industrial designer",ES2002a
80.81,81.26,B,Okay,ES2002a
80.87,80.87,A,.,ES2002a
81.26,81.26,B,.,ES2002a
82.08,84.46,D,And I'm Andrew and I'm uh our marketing,ES2002a
85.99,87.17,C,Um,ES2002a
86.07,86.5,D,expert .,ES2002a
87.17,88.71,C,I'm Craig and I'm User Interface .,ES2002a
89.3,132.03,B,"Great . Okay . Um so we're designing a new remote control and um Oh I have to record who's here actually . So that's David , Andrew and Craig , isn't it ? And you all arrived on time . Um yeah so des uh design a new remote control . Um , as you can see it's supposed to be original , trendy and user friendly . Um so that's kind of our our brief , as it were . Um and so there are three different stages to the design . Um I'm not really sure what what you guys have already received um in your emails . What did you get ?",ES2002a
132.57,135.18,A,"Um , I just got the project announcement about",ES2002a
135.08,135.44,B,Mm-hmm,ES2002a
135.18,136.17,A,what the project,ES2002a
135.44,135.44,B,.,ES2002a
136.17,137.37,A,is . Designing,ES2002a
137.12,137.39,D,Mm-hmm,ES2002a
137.37,137.42,A,a,ES2002a
137.39,137.39,D,.,ES2002a
137.42,139.15,A,remote control . That's about it,ES2002a
138.96,139.51,D,Mm-hmm,ES2002a
139.15,139.73,A,", didn't",ES2002a
139.51,139.75,D,. Yeah,ES2002a
139.73,139.84,A,get,ES2002a
139.75,140.07,D,", that's",ES2002a
139.84,140.1,A,anything,ES2002a
140.07,140.36,D,that's,ES2002a
140.1,140.77,A,else,ES2002a
140.1,140.46,B,Is that what,ES2002a
140.36,140.56,D,it,ES2002a
140.46,140.83,B,everybody,ES2002a
140.47,140.83,C,Yeah,ES2002a
140.56,140.56,D,.,ES2002a
140.77,140.87,A,. Did,ES2002a
140.83,141.53,B,got,ES2002a
140.83,140.83,C,.,ES2002a
140.87,141.98,A,you get the same thing,ES2002a
141.53,142.66,B,? Okay,ES2002a
141.8,141.95,D,Yeah .,ES2002a
141.98,141.98,A,?,ES2002a
142.66,166.72,B,. Um . So we're gonna have like individual work and then a meeting about it . And repeat that process three times . Um and at this point we get try out the whiteboard over there . Um . So uh you get to draw your favourite animal and sum up your favourite characteristics of it . So who would like to go,ES2002a
166.67,166.82,D,I,ES2002a
166.72,167.31,B,first,ES2002a
166.82,167.36,D,will go,ES2002a
167.31,167.31,B,?,ES2002a
167.36,167.81,D,. That's fine .,ES2002a
167.84,168.84,B,Very good .,ES2002a
174.2,182.34,D,"Alright . So This one here , right ?",ES2002a
183.26,184.24,B,Mm-hmm,ES2002a
183.93,185.34,D,Okay,ES2002a
184.24,184.24,B,.,ES2002a
185.34,191.68,D,. Very nice . Alright . My favourite animal is like,ES2002a
203.45,204.24,D,A beagle .,ES2002a
211.97,216.46,D,Um charac favourite characteristics of it ? Is that right,ES2002a
215.95,216.6,B,Yeah,ES2002a
216.46,216.87,D,? Uh,ES2002a
216.6,216.77,B,. Yeah .,ES2002a
216.87,242.41,D,", right , well basically um high priority for any animal for me is that they be willing to take a lot of physical affection from their family . And , yeah that they have lots of personality and uh be fit and in robust good health . So this is blue . Blue beagle . My family's beagle .",ES2002a
243.4,245.7,B,Right . Lovely .,ES2002a
255.07,257.26,C,"Well , my favourite animal would be a monkey .",ES2002a
268.0,273.99,C,"Then they're small cute and furry , and uh when planet of the apes becomes real , I'm gonna be up there with them .",ES2002a
275.67,276.02,B,Right,ES2002a
275.83,276.15,A,Cool,ES2002a
276.02,276.02,B,.,ES2002a
276.15,282.65,A,. There's too much gear .,ES2002a
285.96,293.37,B,"You can take as long over this as you like , because we haven't got an awful lot to discuss . Ok oh we do we do . Don't feel like you're in a rush , anyway",ES2002a
293.26,294.25,A,Okay,ES2002a
293.37,293.37,B,.,ES2002a
294.25,294.25,A,.,ES2002a
296.02,298.03,D,I coulda told you a whole lot more about beagles,ES2002a
297.94,298.7,B,Ach,ES2002a
298.03,298.88,D,". Boy , let me tell",ES2002a
298.7,298.97,B,why not,ES2002a
298.88,300.92,D,you,ES2002a
298.97,300.43,B,We might have to get you up again then .,ES2002a
300.92,300.92,D,.,ES2002a
301.14,303.58,B,I don't know what mine is . I'm gonna have to think on the spot now .,ES2002a
307.06,307.9,D,Impressionist .,ES2002a
309.38,310.85,A,Can't draw .,ES2002a
312.05,312.14,B,Is,ES2002a
312.06,312.84,A,Um,ES2002a
312.14,315.13,B,that a whale,ES2002a
312.84,313.52,A,. Yeah .,ES2002a
315.13,315.13,B,?,ES2002a
318.58,328.15,A,"Um , well anyway , I don't know , it's just the first animal I can think off the top of my head . Um . Yes . Big reason is 'cause I'm allergic to most animals . Allergic",ES2002a
327.91,328.53,B,Ah,ES2002a
328.15,328.76,A,to animal fur,ES2002a
328.53,328.53,B,.,ES2002a
328.76,338.76,A,", so um fish was a natural choice . Um , yeah , and I kind of like whales . They come in and go eat everything in sight . And they're quite",ES2002a
338.48,339.05,D,Alright,ES2002a
338.76,339.27,A,harmless,ES2002a
339.05,339.05,D,.,ES2002a
339.27,341.52,A,and mild and interesting .,ES2002a
341.85,342.2,D,Mm .,ES2002a
342.42,346.85,B,"Okay . God , I still don't know what I'm gonna write about . Um .",ES2002a
349.66,350.84,D,"Superb sketch , by the way .",ES2002a
353.86,355.11,A,"Tail's a bit big , I think",ES2002a
354.91,355.17,B,I,ES2002a
355.11,355.11,A,.,ES2002a
355.17,360.21,B,was gonna choose a dog as well . But I'll just draw a different kind of dog,ES2002a
359.62,359.9,D,Yep .,ES2002a
360.21,376.27,B,". M my favourite animal is my own dog at home . Um That doesn't really look like him , actually . He looks more like a pig , actually . Ah well .",ES2002a
378.46,379.99,D,I see a dog in there,ES2002a
