Start,End,Speaker,Speech,meeting
6.2,6.33,B,Two .,TS3004a
11.63,12.47,A,Hello,TS3004a
12.32,12.57,C,Good,TS3004a
12.47,12.86,A,. Hello,TS3004a
12.57,13.12,C,morning,TS3004a
12.86,12.86,A,.,TS3004a
12.97,13.56,D,Hello,TS3004a
13.12,13.12,C,.,TS3004a
13.56,16.64,D,. Ah .,TS3004a
18.13,20.0,A,You have to put it exactly on the,TS3004a
19.97,22.08,D,Plate,TS3004a
20.0,20.67,A,on the yeah .,TS3004a
21.2,21.5,C,Okay .,TS3004a
22.08,22.08,D,?,TS3004a
22.84,23.66,B,Good morning .,TS3004a
23.97,24.88,C,Good morning .,TS3004a
32.52,32.85,A,I took,TS3004a
32.7,32.96,C,Should,TS3004a
32.85,33.88,A,your mouse,TS3004a
32.96,34.15,C,I bring my uh pen,TS3004a
33.88,34.18,A,. Yeah,TS3004a
34.15,35.12,C,too,TS3004a
34.18,35.42,A,just yeah,TS3004a
35.12,35.35,C,? Or,TS3004a
35.42,37.55,A,", no , that's for me , I just have to make some notes",TS3004a
37.24,37.81,C,Okay,TS3004a
37.55,37.83,A,. I got,TS3004a
37.81,37.81,C,.,TS3004a
37.83,39.07,A,my uh mouse .,TS3004a
40.16,41.04,D,Uh I also,TS3004a
40.96,41.29,B,Mouse,TS3004a
41.04,41.29,D,forgot,TS3004a
41.29,41.29,B,.,TS3004a
41.29,43.48,D,"my mouse , but I don't need my mouse , I think .",TS3004a
44.8,45.24,C,I do .,TS3004a
45.75,46.2,A,yeah .,TS3004a
48.22,50.17,B,Come on . There we are .,TS3004a
58.63,60.45,C,My laptop is crashing .,TS3004a
62.77,64.84,D,Damn computers,TS3004a
64.29,65.38,C,Cr,TS3004a
64.84,64.84,D,.,TS3004a
74.95,75.97,C,Help help help .,TS3004a
77.7,81.58,B,Let's just check one more time . Mm .,TS3004a
82.8,85.61,D,Can you hear me ? Hello ? Test,TS3004a
84.23,86.04,A,Uh actually my laptop doesn't work,TS3004a
85.61,86.12,D,. I dunno,TS3004a
86.04,86.34,A,", switch",TS3004a
86.12,86.12,D,.,TS3004a
86.34,86.89,A,it on again .,TS3004a
91.64,92.47,D,Check,TS3004a
92.12,92.53,A,Oh no,TS3004a
